solad001: ['319', '0.18388130', '0.11814346', '0.14404145'] 
maybc001: ['568', '0.17781812', '0.11922141', '0.14391144'] 
roles001: ['331', '0.20229851', '0.14487633', '0.14378479'] 
cowgc001: ['120', '0.20233463', '0.11842106', '0.14373089'] 
espid001: ['662', '0.18172172', '0.09484193', '0.14363636'] 
morem001: ['364', '0.17369415', '0.13746631', '0.14342949'] 
iannc001: ['260', '0.18153527', '0.09848485', '0.14285715'] 
nieuk001: ['321', '0.19606404', '0.10989011', '0.14285715'] 
morsm001: ['433', '0.16820469', '0.14505495', '0.14276569'] 
mornj001: ['574', '0.16140619', '0.13689482', '0.14264189'] 
carpm001: ['193', '0.19177076', '0.13071896', '0.14262024'] 
barnd001: ['591', '0.17147750', '0.09898990', '0.14260870'] 
avilm001: ['546', '0.17870790', '0.14062500', '0.14258675'] 
calla001: ['523', '0.18532178', '0.10404624', '0.14243147'] 
mastd002: ['189', '0.18427286', '0.13043478', '0.14234875'] 
jay-j001: ['504', '0.17880310', '0.08995816', '0.14233798'] 
kotsm001: ['167', '0.16529861', '0.11864407', '0.14228457'] 
stubd001: ['547', '0.19620767', '0.10606061', '0.14219882'] 
podss001: ['228', '0.18603089', '0.10135135', '0.14210527'] 
ibanr001: ['439', '0.17382199', '0.15102975', '0.14204185'] 
jeted001: ['745', '0.16981703', '0.08288770', '0.14202560'] 
lawrb002: ['538', '0.17914581', '0.10285714', '0.14181204'] 
maldm001: ['261', '0.18230812', '0.13247864', '0.14164649'] 
kottg001: ['226', '0.17857143', '0.13419913', '0.14163615'] 
sanch002: ['227', '0.18817776', '0.16666667', '0.14145659'] 
wiggt001: ['365', '0.17662600', '0.12609971', '0.14143920'] 
bonie001: ['277', '0.21169570', '0.06250000', '0.14140128'] 
blang001: ['459', '0.18140930', '0.09367089', '0.14112616'] 
keppj001: ['426', '0.16154435', '0.09732360', '0.14093959'] 
olivm001: ['333', '0.17056277', '0.11811024', '0.14052953'] 
hinse001: ['152', '0.17385827', '0.13829787', '0.14043583'] 
shopk001: ['265', '0.16920322', '0.12083333', '0.14039126'] 
diazm003: ['121', '0.16394748', '0.13592233', '0.14035088'] 
montj003: ['555', '0.16624397', '0.14196242', '0.14030184'] 
